Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
0,0.587619048,0.599047619,0.599047619,0.596190476,0.596190476,0.587619048,0.587619048,0.596190476,0.596190476,0.596190476,0.596190476,0.596190476,0.596190476,0.596190476,0.596190476,0.587619048,0.596190476,0.596190476,0.596190476,0.596190476
1,0.602857143,0.625714286,0.628571429,0.646666667,0.651428571,0.651428571,0.606666667,0.648571429,0.647619048,0.65047619,0.645714286,0.645714286,0.647619048,0.646666667,0.65047619,0.652380952,0.643809524,0.647619048,0.655238095,0.65047619
2,0.608571429,0.637142857,0.636190476,0.661904762,0.66952381,0.674285714,0.60952381,0.663809524,0.663809524,0.66952381,0.663809524,0.663809524,0.664761905,0.662857143,0.668571429,0.678095238,0.661904762,0.662857143,0.673333333,0.667619048
3,0.621904762,0.640952381,0.639047619,0.691428571,0.707619048,0.708571429,0.631428571,0.685714286,0.688571429,0.707619048,0.693333333,0.693333333,0.68952381,0.688571429,0.708571429,0.708571429,0.67047619,0.684761905,0.684761905,0.708571429
4,0.638095238,0.657142857,0.64952381,0.701904762,0.721904762,0.725714286,0.636190476,0.697142857,0.699047619,0.721904762,0.7,0.700952381,0.697142857,0.7,0.721904762,0.72952381,0.679047619,0.698095238,0.70952381,0.721904762
5,0.653333333,0.671428571,0.652380952,0.714285714,0.742857143,0.742857143,0.647619048,0.706666667,0.707619048,0.743809524,0.717142857,0.714285714,0.706666667,0.70952381,0.742857143,0.748571429,0.697142857,0.704761905,0.727619048,0.742857143
6,0.660952381,0.687619048,0.661904762,0.72952381,0.763809524,0.758095238,0.659047619,0.721904762,0.727619048,0.763809524,0.731428571,0.732380952,0.722857143,0.726666667,0.763809524,0.760952381,0.702857143,0.722857143,0.744761905,0.764761905
7,0.679047619,0.698095238,0.671428571,0.743809524,0.77047619,0.763809524,0.663809524,0.731428571,0.735238095,0.768571429,0.740952381,0.741904762,0.728571429,0.734285714,0.76952381,0.767619048,0.717142857,0.727619048,0.755238095,0.77047619
8,0.692380952,0.706666667,0.683809524,0.746666667,0.773333333,0.766666667,0.686666667,0.737142857,0.741904762,0.773333333,0.746666667,0.747619048,0.734285714,0.741904762,0.773333333,0.764761905,0.72,0.736190476,0.757142857,0.775238095
9,0.700952381,0.714285714,0.69047619,0.751428571,0.778095238,0.763809524,0.68952381,0.740952381,0.744761905,0.779047619,0.74952381,0.746666667,0.739047619,0.746666667,0.78,0.10952381,0.733333333,0.740952381,0.727619048,0.78
