Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
0,0.117926338,0.08474007,0.08474007,0.08474007,0.101620948,0.115096873,0.115096873,0.115096873,0.115096873,0.101620948,0.115096873,0.115096873,0.115096873,0.115096873,0.101620948,0.117926338,0.101620948,0.115096873,0.115096873,0.101620948
1,0.199788989,0.17149434,0.17000767,0.17058316,0.203241895,0.200844044,0.200844044,0.19993286,0.200076731,0.203721466,0.200172645,0.200172645,0.200508345,0.199788989,0.203529637,0.193602532,0.19072511,0.198446192,0.152407443,0.203577594
2,0.260646461,0.24683484,0.24443698,0.24530021,0.28342605,0.268463457,0.268463457,0.266401304,0.267504316,0.284816804,0.26889507,0.26889507,0.266976789,0.266689047,0.285632074,0.250047957,0.265777863,0.263859582,0.174036064,0.28520046
3,0.306301554,0.31795511,0.31402264,0.31455016,0.346825245,0.322894686,0.322894686,0.318866296,0.320496835,0.350949549,0.323709956,0.323709956,0.320161136,0.320161136,0.35142912,0.291722617,0.330280069,0.312871667,0.200028774,0.351716862
4,0.35723192,0.38499904,0.38005947,0.38111452,0.408689814,0.375215807,0.375215807,0.370420104,0.371810857,0.411567236,0.375839248,0.375839248,0.371523115,0.371858815,0.411375408,0.342317284,0.391425283,0.363658162,0.250047957,0.413005947
5,0.397995396,0.43933436,0.43463457,0.43602532,0.460627278,0.420583157,0.420583157,0.415643583,0.41650681,0.462018032,0.420583157,0.420583157,0.416554767,0.417370036,0.46220986,0.382073662,0.444465759,0.406052177,0.292250144,0.463888356
6,0.448590063,0.5139555,0.50954345,0.51064646,0.52325916,0.476596969,0.476596969,0.471849223,0.472424707,0.521197007,0.476309227,0.476309227,0.47141761,0.47237675,0.521436793,0.335699214,0.512708613,0.460147708,0.324477268,0.526855937
7,0.491847305,0.57145598,0.56507769,0.56733167,0.576251678,0.524170343,0.524841742,0.517072703,0.518223672,0.571168233,0.525321312,0.525321312,0.517312488,0.519326683,0.570832534,0.249664301,0.567907155,0.50354882,0.261989258,0.579225014
8,0.512564742,0.59605793,0.58790524,0.59102244,0.601237291,0.544647995,0.545846921,0.536783042,0.539900249,0.593947823,0.546662191,0.546662191,0.536303472,0.540092077,0.594427393,0.182908114,0.595194706,0.523594859,0.198350278,0.602148475
9,0.531555726,0.62089967,0.61327451,0.61480913,0.626031076,0.567763284,0.568914253,0.558171878,0.56152887,0.618022252,0.568914253,0.568914253,0.55798005,0.563351237,0.617111068,0.171158642,0.619844619,0.547093804,0.178927681,0.62612699
